Table IV
The resulting deperturbed (diabatic) potential energy curves of the singlet A1Sigma+ 
state U_A(r) and triplet b3Pi(Omega=0,1,2) sub-states U_b0(r), U_b1(r), U_b2(r) 
as well as spin-orbit splitting A_01(r), A_12(r) and V_Ab0(r) functions.
Energies - in cm-1, internuclear distance in Angstroms.
=======================================================================================
     r       U_A       U_b0       U_b1        U_b2        A_01        A_12      V_Ab0
---------------------------------------------------------------------------------------
  Angstroms                                         cm-1
=======================================================================================
  3.377250  13734.383  10766.824  10880.005  10991.856    113.181    111.851    128.655
  3.379534  13718.717  10760.237  10873.299  10985.076    113.062    111.776    128.537
  3.381813  13703.133  10753.709  10866.653  10978.355    112.944    111.702    128.418
  3.384089  13687.630  10747.239  10860.066  10971.694    112.827    111.628    128.299
  3.386362  13672.208  10740.828  10853.537  10965.092    112.709    111.554    128.181
  3.388630  13656.865  10734.475  10847.067  10958.547    112.592    111.481    128.063
  3.390895  13641.603  10728.178  10840.654  10952.061    112.475    111.407    127.945
  3.393156  13626.419  10721.939  10834.298  10945.632    112.359    111.334    127.827
  3.395414  13611.314  10715.756  10827.998  10939.260    112.243    111.261    127.710
  3.397667  13596.287  10709.629  10821.756  10932.944    112.127    111.189    127.593
  3.399918  13581.336  10703.557  10815.569  10926.685    112.011    111.116    127.476
  3.402164  13566.463  10697.541  10809.437  10920.481    111.896    111.044    127.359
  3.404408  13551.666  10691.579  10803.361  10914.333    111.781    110.972    127.242
  3.406647  13536.945  10685.672  10797.339  10908.239    111.667    110.900    127.125
  3.408883  13522.299  10679.819  10791.371  10902.200    111.552    110.829    127.009
  3.411116  13507.727  10674.019  10785.458  10896.215    111.439    110.758    126.893
  3.413345  13493.230  10668.273  10779.598  10890.284    111.325    110.687    126.777
  3.415570  13478.806  10662.579  10773.790  10884.406    111.212    110.616    126.662
  3.417793  13464.456  10656.938  10768.036  10878.581    111.099    110.545    126.546
  3.420011  13450.178  10651.348  10762.334  10872.809    110.986    110.475    126.431
  3.422227  13435.972  10645.811  10756.684  10867.089    110.873    110.405    126.316
  3.424439  13421.838  10640.324  10751.086  10861.421    110.761    110.335    126.201
